terms,titles,abstracts
,A Heterogeneous Graph Neural Networks for Social Network Analysis and Fake News Detection,"In recent scenario, the advancement of social media has created an ecosystem where the online information is accompanied by the spread of misinformation and fake news led to cause harm and distrust. The social network analysis and fake news detection have become increasingly important tasks to mitigate these issues. However, the existing Graph Convolutional Network (GCN) have limitations in capturing the complex relationships and dynamic behavior in social networks. Hence, this research presents a Heterogeneous Graph Neural Network (HGNN) to detect fake news by capturing complex interaction and contextual information. Initially, the data is collected from FakeNewsNet repository which consists of factchecking websites, Politifact and GossipCop datasets. After that, a propagation graph is constructed to represent how news spreads on social media and the graph contains nodes, edges as well as graph construction heuristics. Then, the two types of features are extracted for each news item namely node-level features and graph-level features. Next, the proposed HGNN is incorporated three modules such as modelling propagation, pretrained model to learn from news content. Finally, a mixed approach of context and content features to analyze the news whether it is fake or real. From the results, the proposed HGNN achieved better results when compared to existing Dynamic GNN with Temporal Convolutional Networks (DGNN-TCN) in terms of accuracy (94.92%)."
,A Comparative Analysis of Graph Neural Networks for Social Network Data Mining,"Modern computer models are required to sift through the ever-increasing amounts of social network data in search of useful patterns and insights. Graph Neural Networks (GNNs) are a new breed of data mining tools that use graph topologies to accurately represent the interactions between nodes in a social network. In this paper, we compare and contrast Graph Convolutional Networks (GCNs), Graph Attention Networks (GATs), and GraphSAGE, three of the most recent and advanced GNN architectures. We look at how well each one performs in social network data mining tasks like community detection, link prediction, and node classification. We evaluate each model using multiple real-world social network datasets, considering factors such as accuracy, scalability, computational efficiency, and adaptability to dynamic networks. Our results demonstrate that while GCNs exhibit strong performance in community detection, GATs outperform in link prediction due to their attention mechanisms. GraphSAGE, with its inductive learning capability, proves effective in handling large-scale dynamic networks. Our goal in doing this comparison is to shed light on the relative merits of each GNN model and how well they perform in various social network mining contexts. Researchers and practitioners may use this study as a roadmap to find the best GNN models for their social network analysis projects."
,Enhancing Social Network Analysis using Graph Neural Networks,"Social Network Analysis (SNA) may be a key apparatus for figuring out how individuals in social systems interface and relate to each other. Most of the time, chart hypothesis, factual models, and machine learning are utilized in conventional SNA strategies. Be that as it may, these strategies have inconvenience finding complex designs in huge, changing, and assorted systems. Chart Neural Systems (GNNs) are a modern and solid way to progress SNA. They learn models straight from graph-structured information, which makes them exceptionally great at assignments like finding communities, classifying hubs, and foreseeing joins. This think about looks into how GNNs can be utilized to form SNA way better. In specific, conversation approximately how GNN plans like Chart Attention Networks (GATs), Chart Convolutional Systems (GCNs), and GraphSAGE can be utilized to induce both nearby and worldwide structure information from social systems. By utilizing profound learning to combine information from a node's neighbors, GNNs make wealthy include embeddings that keep critical social forms like how impact spreads, how communities are organized, and how solid connections are. GNNs can too handle the sparsity and commotion that are common in social systems well, which makes inquire about more dependable. Conversation almost how combining GNNs with common SNA measurements (like centrality and clustering coefficients) can make organize patterns easier to get it and clarify. By utilizing GNNs on real-life social arrange data, appear that they are more precise at making forecasts and can be utilized on a bigger scale than conventional SNA strategies. The ponder looks at the computing challenges and trade-offs of utilizing GNNs in huge social systems. It talks almost issues like overfitting, show complexity, and being able to get it the models. GNNs are a huge step forward for SNA since they offer assistance us get it social frameworks and connections in a more complex way. Their utilize opens up other ways to see at complicated social occasions, which makes a difference individuals make way better choices in zones like promoting, criticism frameworks, and the spread of data."
,Graph Neural Networks for Enhanced Social Network Analysis,"Social network analysis (SNA) is an important approach for understanding complex linkages and interactions between entities. Traditional approaches frequently fail to capture the complexities of network data due to its non-Euclidean character. Graph Neural Networks (GNNs) offer an innovative approach to data analysis by modelling node, edge, and graph features using graph structures and neural network topologies. This study investigates the use of GNNs in social network analysis, focusing on problems such as community recognition, impact maximization, link prediction, and sentiment analysis. Our analysis of cutting-edge GNN models shows how they effectively capture and utilize topological and contextual information from social networks"
,Commerce Social Network Data Analysis and Product Recommendation Optimization Using Graph Neural Networks,"With the development of social e-commerce platforms, the social relationships between users have put forward higher requirements for the accuracy and robustness of personalized recommendation systems. Existing recommendation methods generally have problems such as insufficient dynamic modeling of user interests and difficulty in effectively integrating multi-source social information, which limits the performance of recommendation systems in practical application scenarios. To address the above challenges, this paper proposes a social recommendation model based on multi-relation heterogeneous graph neural networks, which can simultaneously model user-product interaction behaviors and social relationships between users, integrate structural semantics and temporal dynamic information, and achieve a fine description of user preferences. The proposed method uses a relation-aware attention mechanism to perform weighted aggregation on multiple edge types, and introduces a time decay factor to capture the evolutionary characteristics of user interests. Systematic experiments on a simulated social e-commerce dataset show that the model significantly outperforms mainstream baseline methods in multiple indicators such as Precision, Recall, and NDCG, verifying the advantages of the proposed model in recommendation accuracy and ranking ability. This study expands the modeling depth of graph neural networks in heterogeneous social graphs, and provides a scalable and high-performance recommendation strategy for social e-commerce platforms, showing good adaptability in challenging scenarios such as user cold start and data sparsity."
,APPLICATION OF GRAPH NEURAL NETWORKS IN SOCIAL NETWORK RECOMMENDATION ANALYSIS,
,SHAP-Instance Weighted and Anchor Explainable AI: Enhancing XGBoost for Financial Fraud Detection,"This research aims to enhance financial fraud detection by integrating SHAP-Instance Weighting and Anchor Explainable AI with XGBoost, addressing challenges of class imbalance and model interpretability. The study extends SHAP values beyond feature importance to instance weighting, assigning higher weights to more influential instances. This focuses model learning on critical samples. It combines this with Anchor Explainable AI to generate interpretable if-then rules explaining model decisions. The approach is applied to a dataset of financial statements from the listed companies on the Stock Exchange of Thailand. The method significantly improves fraud detection performance, achieving perfect recall for fraudulent instances and substantial gains in accuracy while maintaining high precision. It effectively differentiates between non-fraudulent, fraudulent, and grey area cases. The generated rules provide transparent insights into model decisions, offering nuanced guidance for risk management and compliance. This research introduces instance weighting based on SHAP values as a novel concept in financial fraud detection. By simultaneously addressing class imbalance and interpretability, the integrated approach outperforms traditional methods and sets a new standard in the field. It provides a robust, explainable solution that reduces false positives and increases trust in fraud detection models. Doi: 10.28991/ESJ-2024-08-06-016 Full Text: PDF"
,Secure and Transparent Banking: Explainable AI-Driven Federated Learning Model for Financial Fraud Detection,"The increasing sophistication of fraud has rendered rule-based fraud detection obsolete, exposing banks to greater financial risk, reputational damage, and regulatory penalties. Financial stability, customer trust, and compliance are increasingly threatened as centralized Artificial Intelligence (AI) models fail to adapt, leading to inefficiencies, false positives, and undetected detection. These limitations necessitate advanced AI solutions for banks to adapt properly to emerging fraud patterns. While AI enhances fraud detection, its black-box nature limits transparency, making it difficult for analysts to trust, validate, and refine decisions, posing challenges for compliance, fraud explanation, and adversarial defense. Effective fraud detection requires models that balance high accuracy and adaptability to emerging fraud patterns. Federated Learning (FL) enables distributed training for fraud detection while preserving data privacy and ensuring legal compliance. However, traditional FL approaches operate as black-box systems, limiting the analysts to trust, verify, or even improve the decisions made by AI in fraud detection. Explainable AI (XAI) enhances fraud analysis by improving interpretability, fostering trust, refining classifications, and ensuring compliance. The integration of XAI and FL forms a privacy-preserving and explainable model that enhances security and decision-making. This research proposes an Explainable FL (XFL) model for financial fraud detection, addressing both FL’s security and XAI’s interpretability. With the help of Shapley Additive Explanations (SHAP) and LIME, analysts can explain and improve fraud classification while maintaining privacy, accuracy, and compliance. The proposed model is trained on a financial fraud detection dataset, and the results highlight the efficiency of detection and successful elimination of false positives and contribute to the improvement of the existing models as the proposed model attained 99.95% accuracy and a miss rate of 0.05%, paving the way for a more effective and comprehensive AI-based system to detect potential fraudulence in banking."
,Explainable AI - enhanced ensemble learning for financial fraud detection in mobile money transactions,"This research paper addresses the pressing problem of financial fraud in the changing context of digital banking by integrating machine learning and explainable AI, specifically exploiting SHapley Additive exPlanations (SHAP). With a focus on enhancing both accuracy and interpretability, this study utilizes a synthetically generated dataset from the PaySim simulator, encompassing 6,362,620 records. The usefulness of an Ensemble Learning Model with a Voting Classifier is shown by its evaluation of different machine learning models, which achieves an excellent accuracy of 99.904%.Emphasizing transparency, accountability, and regulatory compliance, this work employs SHAP analysis to unveil attribute-level interpretability, providing stakeholders with clear insights. The goal of this interdisciplinary endeavor is to provide a safe space for digital finance by bridging the gap between precision and interpretability, which will aid in the creation of open methods."
,Transparency and Privacy: The Role of Explainable AI and Federated Learning in Financial Fraud Detection,"Fraudulent transactions and how to detect them remain a significant problem for financial institutions around the world. The need for advanced fraud detection systems to safeguard assets and maintain customer trust is paramount for financial institutions, but some factors make the development of effective and efficient fraud detection systems a challenge. One of such factors is the fact that fraudulent transactions are rare and that many transaction datasets are imbalanced; that is, there are fewer significant samples of fraudulent transactions than legitimate ones. This data imbalance can affect the performance or reliability of the fraud detection model. Moreover, due to the data privacy laws that all financial institutions are subject to follow, sharing customer data to facilitate a higher-performing centralized model is impossible. Furthermore, the fraud detection technique should be transparent so that it does not affect the user experience. Hence, this research introduces a novel approach using Federated Learning (FL) and Explainable AI (XAI) to address these challenges. FL enables financial institutions to collaboratively train a model to detect fraudulent transactions without directly sharing customer data, thereby preserving data privacy and confidentiality. Meanwhile, the integration of XAI ensures that the predictions made by the model can be understood and interpreted by human experts, adding a layer of transparency and trust to the system. Experimental results, based on realistic transaction datasets, reveal that the FL-based fraud detection system consistently demonstrates high performance metrics. This study grounds FL’s potential as an effective and privacy-preserving tool in the fight against fraud."
